source,listing_id,title,location,property_type,bedrooms,bathrooms,size_sqft,price_kes,amenities,listing_url,scrape_date
DiamondTrust,A0000,3BR Apartment in Ongata Rongai,Ongata Rongai,Apartment,3,2,1173,21850876,,https://example.com/property/0,2026-01-23
BuyRentKenya,B0001,1BR Townhouse in Runda,Runda,Townhouse,1,1,1011,68839086,,https://example.com/property/1,2026-01-27
BuyRentKenya,C0002,3BR Villa in Kileleshwa,Kileleshwa,Villa,3,3,2497,38227887,,https://example.com/property/2,2026-01-25
BuyRentKenya,D0003,3BR House in Kileleshwa,Kileleshwa,House,3,3,2238,29325823,lift|pool,https://example.com/property/3,2026-01-29
BuyRentKenya,E0004,3BR Townhouse in Runda,Runda,Townhouse,3,2,1646,114841361,pool|gym|garden,https://example.com/property/4,2026-01-23
DiamondTrust,F0005,4BR Villa in Thika Road,Thika Road,Villa,4,4,3552,7652154,,https://example.com/property/5,2026-01-29
DiamondTrust,G0006,4BR House in Runda,Runda,House,4,4,2863,227017145,balcony|gym|internet|water,https://example.com/property/6,2026-02-07
DiamondTrust,H0007,1BR Bungalow in Donholm,Donholm,Bungalow,1,1,904,6836911,playground|cctv|security|water|furnished,https://example.com/property/7,2026-02-17
BuyRentKenya,I0008,4BR Villa in Komarock,Komarock,Villa,4,3,3885,4911140,playground|parking|garden,https://example.com/property/8,2026-01-25
PropertyPro,J0009,2BR Townhouse in Langata,Langata,Townhouse,2,1,1162,14365855,furnished|balcony|internet|pool|security,https://example.com/property/9,2026-02-01
PropertyPro,K0010,1BR House in Parklands,Parklands,House,1,1,1162,10000000,,https://example.com/property/10,2026-02-15
PropertyPro,L0011,3BR Apartment in Westlands,Westlands,Apartment,3,3,1377,31041037,,https://example.com/property/11,2026-01-26
DiamondTrust,M0012,3BR House in Parklands,Parklands,House,3,2,1765,16299547,,https://example.com/property/12,2026-02-13
PropertyPro,N0013,3BR Bungalow in Embakasi,Embakasi,Bungalow,3,2,2529,7490553,,https://example.com/property/13,2026-02-12
BuyRentKenya,O0014,2BR Bungalow in Kasarani,Kasarani,Bungalow,2,2,1528,4416426,water|playground|furnished|lift,https://example.com/property/14,2026-01-26
DiamondTrust,P0015,1BR Bungalow in Upper Hill,Upper Hill,Bungalow,1,1,1227,48406416,,https://example.com/property/15,2026-02-17
