source,location,property_type,bedrooms,bathrooms,size_sqft,price_kes,amenities,title,pid,listing_url,listing_date
BuyRentKenya,Ruiru,House,4.0,,,17500000,,"4 Bed House with En Suite at RuiruKSh 17,500,000",,https://www.buyrentkenya.comjavascript:void(0);,2026-02-18
BuyRentKenya,Kileleshwa,Apartment,4.0,,,13500000,,"4 Bed Apartment with En Suite in KileleshwaKSh 13,500,000",,https://www.buyrentkenya.comjavascript:void(0);,2026-02-18
BuyRentKenya,Lavington,Apartment,4.0,,,13500000,,"4 Bed Apartment with En Suite in LavingtonKSh 13,500,000",,https://www.buyrentkenya.comjavascript:void(0);,2026-02-18
BuyRentKenya,Kileleshwa,Apartment,2.0,,,8800000,,"2 Bed Apartment with En Suite at Off Oloitokitok RoadKSh 8,800,000",,https://www.buyrentkenya.comjavascript:void(0);,2026-02-18
BuyRentKenya,Kileleshwa,Apartment,2.0,,,8000000,pool,"2 Bed Apartment with Swimming Pool at Off Oloitokitok RoadKSh 8,000,000",,https://www.buyrentkenya.comjavascript:void(0);,2026-02-18
BuyRentKenya,Nairobi (Unspecified),Villa,5.0,,,43000000,,"5 Bed Villa with En Suite in GikamburaKSh 43,000,000",,https://www.buyrentkenya.comjavascript:void(0);,2026-02-18
BuyRentKenya,Kileleshwa,Apartment,2.0,,,7820000,,"2 Bed Apartment with En Suite at Off Oloitokitok RoadKSh 7,820,000",,https://www.buyrentkenya.comjavascript:void(0);,2026-02-18
BuyRentKenya,Kileleshwa,Apartment,2.0,,,7150000,pool,"2 Bed Apartment with Swimming Pool at Off Oloitokitok RoadKSh 7,150,000",,https://www.buyrentkenya.comjavascript:void(0);,2026-02-18
BuyRentKenya,Kileleshwa,Apartment,1.0,,,6500000,,"1 Bed Apartment with En Suite at Off Oloitokitok RoadKSh 6,500,000",,https://www.buyrentkenya.comjavascript:void(0);,2026-02-18
BuyRentKenya,Westlands,Apartment,2.0,,,12800000,,"2 Bed Apartment with En Suite in RiversideKSh 12,800,000",,https://www.buyrentkenya.comjavascript:void(0);,2026-02-18
BuyRentKenya,Westlands,Apartment,2.0,,,12500000,,"2 Bed Apartment with En Suite in RiversideKSh 12,500,000",,https://www.buyrentkenya.comjavascript:void(0);,2026-02-18
BuyRentKenya,Westlands,Apartment,1.0,,,8500000,pool,"1 Bed Apartment with Swimming Pool in RiversideKSh 8,500,000",,https://www.buyrentkenya.comjavascript:void(0);,2026-02-18
